Original_row_number,STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,Municipality
517,42,1367,1,3,1,0,0,11,3,32624,DEER CREEK',<Null>,FREEPORT RD',300S. INTERSECT W/TR 910',99.99,13.058,1,21001,0,40321148,79502600,13,3,1,1,14,1970,5,0,20676,2022,5,17.1,2,20,0,1,0,0,0,5,0,0,0,A,5,5,6,2,0,0,2,0,24.2,21.9,44.5,1.8,0.2,18.9,19.8,99.99,N,0,N,0,0,7,6,6,6,N,1,57.2,1,29.9,6,4,N,5,6,8,<Null>,<Null>,45,921,24,N,N,N,<Null>,<Null>,<Null>,0,0,0,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,2000,1,1,0,0,7,0,<Null>,Y,5,28783,2032,0,N,42,F,6,881.1,Harmar Township
518,42,1369,1,3,1,0,0,11,3,72960,SHOOPS RUN',<Null>,PITTSBURGH STREET',0.5 MI E OF PILLOW AVE',99.99,17.383,1,21001,0,40322742,79473849,8,3,1,1,14,1920,2,0,12491,2022,5,10.4,0,0,0,0,0,0,0,5,0,0,0,A,5,5,1,11,0,0,1,0,17.1,7.3,7.3,3.4,3.4,10.4,18.3,99.99,N,0,N,0,0,N,5,6,4,N,0,49,0,32.7,5,4,N,5,5,8,<Null>,<Null>,14,1220,24,N,N,N,<Null>,<Null>,<Null>,0,0,0,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,0,N,N,N,N,13,0,<Null>,Y,5,25203,2032,0,N,42,F,5,133.59,Springdale Borough
519,42,1374,1,3,1,0,0,11,3,76104,BULL CREEK',<Null>,SEVENTH AVE',AT APPRCH TO TARENTUM BR',99.99,26.852,0,<Null>,<Null>,40360604,79452909,11,3,1,1,16,1895,3,0,8047,2022,5,12.2,0,0,0,0,0,0,0,5,0,0,0,A,5,5,8,11,0,0,1,0,12.2,12.2,12.2,1.7,1.7,12.2,16.2,99.99,N,0,N,0,0,N,5,5,4,N,0,49,0,32.7,5,4,N,5,9,8,35,2,12,320,24,N,Y24,N,<Null>,821,<Null>,13,55,180,<Null>,<Null>,0,<Null>,0,N,2,<Null>,0,0,0,N,N,N,N,8,0,<Null>,Y,4,13091,2032,0,N,42,F,5,197.64,Tarentum Borough
520,42,1376,1,3,1,0,4,11,3,56384,LR 1037 NB.-TR 28',<Null>,FREEPORT RD RP',70 PAR S.B.OVER 1037 N.B.',99.99,0,0,<Null>,<Null>,40292688,79523253,3,3,1,1,16,1965,1,2,3941,2022,5,8.5,0,0,0,1,1,0,1,5,N,0,0,A,1,1,3,2,0,0,4,0,8.5,26.5,90.8,0.2,0.2,8.5,9.6,99.99,H,4.5,H,3.5,1.6,7,6,7,N,N,1,87.1,1,51.7,6,4,3,5,N,8,35,2,91,420,23,Y23,N,N,420,<Null>,<Null>,19,56,258,<Null>,<Null>,0,<Null>,0,N,1,<Null>,0,0,1995,1,1,0,0,2,0,<Null>,Y,N,4964,2032,0,N,42,F,6,871.68,O Hara Township
521,42,1377,1,3,1,0,0,11,3,56384,SR 9108',<Null>,SR 1002',@ INT W/ SR 28 & FREEPORT',99.99,0.48,0,<Null>,<Null>,40292569,79521831,3,3,1,1,16,1965,4,2,8340,2022,5,23.2,3,45,0,1,1,1,1,5,N,0,0,A,1,1,5,6,0,0,3,0,9.9,16.8,47.2,0.2,0.2,20.7,21.6,99.99,H,4.45,H,3,1.7,7,6,5,N,N,1,66.2,1,39.9,5,9,6,5,N,8,<Null>,<Null>,47,121,24,N,N,N,<Null>,<Null>,<Null>,0,0,0,<Null>,<Null>,0,<Null>,0,N,2,<Null>,0,0,1995,1,1,0,1,2,0,<Null>,Y,N,9764,2032,0,N,42,F,5,1019.52,O Hara Township
522,42,1378,1,3,1,0,0,11,3,56384,SEITZ RUN',<Null>,NORTH CANAL ST',0.5 NE OF MAIN STREET',99.99,0.692,0,<Null>,<Null>,40295772,79552878,3,3,1,1,17,1960,2,0,4772,2022,5,7.9,0,0,0,0,0,0,0,5,0,0,0,A,5,5,1,1,0,0,1,0,7.9,9.1,10.7,1.5,1.5,7.9,11.6,99.99,N,0,N,0,0,5,5,6,4,N,1,49,1,29,5,3,N,5,3,8,35,1,12,1220,24,N,N,N,<Null>,<Null>,<Null>,11,32,146,<Null>,<Null>,0,<Null>,0,N,2,<Null>,0,0,0,1,6,0,0,5,0,<Null>,Y,5,6662,2032,0,N,42,F,5,124.12,O Hara Township
523,42,1380,1,3,1,0,0,11,3,61000,NS RR  ALLEGH R  AVR RR',<Null>,HIGHLAND PARK BRG',Highland Park Bridge',5.61,0.295,1,21005,0,40290990,79544840,10,3,1,1,14,1940,4,4,37191,2022,5,17.1,3,0,1,0,1,1,1,2,1,999.7,9999.9,A,5,8,4,9,3,3,7,6,8.2,84.7,702.9,1.4,0.2,17.1,19.5,5.61,H,4.72,H,2.8,0,7,5,5,6,N,1,44.5,1,23.6,5,5,4,5,9,4,35,2,739,1020,24,Y24,Y60,N,1020,821,<Null>,165,514,2222,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,1988,1,1,0,1,7,0,1,Y,5,50540,2032,0,N,42,F,5,13706.55,Pittsburgh
524,42,1384,1,3,1,0,0,11,3,56384,FREEPORT RD',<Null>,HIGHLAND PARK BRG',Highland Park Bridge',99.99,0.295,1,21005,0,40293387,79543647,0,3,1,1,14,1938,4,8,37191,2022,5,18,3,0,1,0,0,1,1,5,N,0,0,A,5,1,3,2,0,0,1,0,11.3,20.4,21.9,1.3,0.2,19.9,21,99.99,H,4.5,H,0.3,0,5,6,5,N,N,1,99.9,1,73.5,5,7,3,5,N,6,35,2,22,720,24,N,N,N,<Null>,<Null>,<Null>,15,45,205,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,1987,1,1,0,1,7,0,<Null>,Y,N,50540,2032,0,N,42,F,5,459.9,Sharpsburg Borough
525,42,1387,1,3,1,0,0,11,3,69584,PINE CREEK',<Null>,BURCHFIELD RD',SHALER TWP.OVER PINE CR.',99.99,0,0,<Null>,<Null>,40324192,79574533,8,3,1,1,17,1915,2,0,3615,2022,5,8.2,0,30,0,0,0,0,0,1,0,0,0,A,1,5,1,11,0,0,1,0,7.6,19.2,35.4,0,0,7.6,8.8,99.99,N,0,N,0,0,N,5,5,5,N,0,49,0,32.7,5,2,N,5,6,8,35,2,48,1220,24,N,N,N,<Null>,<Null>,<Null>,37,110,503,<Null>,<Null>,0,<Null>,0,N,2,<Null>,0,0,0,9,9,9,9,5,0,<Null>,Y,3,2956,2032,0,N,42,F,5,311.52,Shaler Township
526,42,1402,1,3,1,0,0,11,3,32624,GUYS RUN',<Null>,GUYS RUN RD',1 1/2 MI.N. OF SR 0028',99.99,1.624,0,<Null>,<Null>,40325992,79512968,8,3,1,1,17,1936,2,0,3223,2020,5,7.3,0,30,0,0,1,0,0,5,0,0,0,A,1,5,1,1,0,0,1,0,7.3,7.3,8.2,0,0,7.3,8.5,99.99,N,0,N,0,0,7,7,7,5,N,1,88.9,1,53.5,7,2,N,5,5,8,31,1,6,121,24,N,N,N,<Null>,<Null>,<Null>,15,45,206,<Null>,<Null>,0,<Null>,0,N,2,<Null>,0,0,0,N,1,0,1,10,0,<Null>,Y,5,5312,2032,0,N,42,G,7,69.7,Harmar Township
