COG,Municipality,Year,Real.Estate.Taxes,Occupation.Taxes,Residence.Taxes,Regional.Asset.District.Sales.Tax,Per.Capita.Taxes,Real.Estate.Transfer.Taxes,Earned.Income.Taxes,Business.Gross.Receipts.Taxes,Occupation.Taxes.Act.511,Local.Services.Tax,Amusement.Admission.Taxes,Mechanical.Device.Taxes,Other.Taxes.1,Other.Taxes.2,Total.Taxes,A.O.Licenses.Permits,Cable.TV.Franchise.Fees,Fines.and.Forfeits,Interest.Earnings,Rents.and.Royalties,Federal.Grant.Highway.n.Streets,Federal.Grant.Community.Dev,A.O.Federal.Op.Grants,Federal.Revenue.National.Forest,A.O.Federal.Revenue,Federal.Payments.in.Lieu.of.Taxes,PA.Grant.Highways.and.Streets,PA.Grant.Community.Dev,PA.Recycling.Act.101.Revenue,A.O.State.Operating.Grants,PURTA.Revenue,MV.Fuel.Tax.n.State.Road,Alcoholic.Beverage.Licenses,Pension.System.State.Aid,Foreign.Fire.Insurance.Tax,Local.Gaming.Proceeds,Marcellus.Shale.Impact.Fee,A.O.State.Revenues,PA.Payments.in.Lieu.of.Taxes,Local.Grant.Highways.and.Streets,A.O.Local.Capital.and.Operating.Grants,Payments.for.Contracted.Services,Local.Payments.in.Lieu.of.Taxes,Charges.General.Government,Charges.Public.Safety,Charges.Parking,A.O.Charges.Highway.n.Street,Charges.Wastewater.Sewage,Charges.Solid.Waste,Host.Benefit.Fee.for.Waste.Facility,A.O.Charges.for.Sanitation,Charges.Health.Services,Charges.Human.Services,Charges.Culture.and.Recreation,Charges.Airports,Charges.Bars,Charges.Cemeteries,Charges.Electric.System,Charges.Gas.System,Charges.Housing.System,Charges.Markets,Charges.Transit.Systems,Charges.Water.Systems,A.O.Charges.for.Service,Special.Assessments,Escheats,Donations.Private.Sectors,Fiduciary.Fund.Pension.Contributions,A.O.Unclassified.Operating.Revenues,Proceeds.of.General.Fixed.Asset,Interfund.Operating.Transfers.Revenue,Proceeds.of.General.Long.Term.Debt,Proceeds.of.Short.Term.Debt,Refunds.of.Prior.Year.Expenditures,Total.Revenue,Legislative.Body.Expend,Manager.or.Mayor,Auditing.Services.Financial.Admin,Tax.Collection.Expend,Solicitor.Legal.Services.Expend,Secretary.Clerk,Other.Gen.Gov.Admin,IT.and.Data,Engineering.Services,General.Government.Buildings.n.Plant,Police,Fire,Ambulance.and.Rescue,UCC.and.Code.Enforcement,Planning.and.Zoning,Emergency.Management.n.Communications,Militia.and.Armories,Exam.of.Licensed.Occupations,Public.Scales.Weights.Measures,Other.Public.Safety,Total.Public.Safety,Health.and.Human.Services,Recycling.Collection.and.Disposal,Garbage.Collection.and.Disposal.Expend,Weed.Control,Wastewater.Sewage.Treatment.Expend,Admin.Highway.Streets.Expend,Cleaning.of.Streets.and.Gutters,Winter.Maintenance.and.Snow.Removal,Traffic.Control.Devices,Street.Lighting,Sidewalks.and.Crosswalks,Storm.Sewers.and.Drains,Repairs.of.Tools.and.Machinery,Maintenance.n.Repairs.Roads.Bridges,Highway.Construction.and.Rebuilding.Projects,Public.Works.Enterprises.Airports,Public.Works.Enterprises.Cemeteries,Public.Works.Enterprises.Electric.System,Public.Works.Enterprises.Gas.System,Public.Works.Enterprises.Markets,Public.Works.Enterprises.Parking,Public.Works.Enterprises.Flood.Control,Public.Works.Enterprises.Transit.System,Public.Works.Enterprises.Water.System,Public.Works.Enterprises.Water.Transport,Culture.Recreation.Admin.Expend,Participant.Recreation.Expend,Spectator.Recreation.Expend,Parks.Expend,Shade.Tree.Expend,Libraries.Expend,Civil.and.Military.Celebrations,Senior.Citizen.Centers,A.O.Culture.and.Recreation,Conservation.of.Natural.Resources,Community.Development.and.Housing,Economic.Development,Economic.Opportunity,A.O.Community.Development,Debt.Principal,Debt.Interest,Fiscal.Agent.Fees,Withholding.Taxes.n.Unemployment.Comp,Employer.Judgments.and.Losses,Pension.Retirement.Fund.Contributions,Worker.Compensation.Insurance,Other.Group.Insurance.Benefits,Insurance.Casualty.and.Surety,Fiduciary.Fund.Benefits.and.Refunds,A.O.Unclassified.Expenditures,Refund.of.Prior.Year.Revenues,Interfund.Operating.Transfers.Expend,A.O.Financing.Uses,Total.Expenditure,sum.code.enf,per.it.data,per.code.enf
QUAKER VALLEY,ALEPPO TWP,2006,576823,0,0,19134,0,33101,109285,41967,0,22492,0,0,0,0,802802,0,21220,2464,27977,1300,383276,0,0,0,0,0,0,0,0,0,1368,0,0,6431,0,0,0,0,9980,0,0,7316,195000,6988,11658,0,16703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5403,0,0,275000,826,1895729,7087,44832,49150,10933,99257,28722,0,2507,60282,21897,60462,84752,7283,10071,14839,0,0,0,0,0,177407,0,0,52847,0,0,138536,0,0,0,0,0,0,4073,0,391563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289928,13050,0,5267,12000,0,0,0,27633,0,0,295,34562,0,1489357,24910,0.168,1.673
QUAKER VALLEY,ALEPPO TWP,2007,566609,0,0,21067,0,151653,127877,58870,0,32942,0,0,0,0,959018,0,23178,3418,34997,1600,0,0,63445,0,0,0,8730,0,140,0,1200,0,0,9081,0,0,0,0,9717,0,0,0,199925,6926,8964,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31993,0,215000,0,1964973,11210,50105,5580,10538,57954,29468,35783,1989,33513,17592,36280,105801,0,5765,6556,8914,0,0,0,0,163316,0,0,71248,0,0,157089,0,0,0,0,0,0,1776,4000,169852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273529,13984,0,0,0,0,0,0,27877,0,0,9846,310175,0,1521115,12321,0.131,0.81
QUAKER VALLEY,ALEPPO TWP,2008,525981,0,0,18776,0,25035,153522,51607,0,25994,0,0,0,0,800915,0,26216,4393,17087,1800,0,0,22840,0,0,0,9476,0,379,0,1244,0,8671,9902,0,0,0,0,0,9774,0,0,192894,10195,16029,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15111,0,145000,0,8631,1441710,14021,50923,5405,10709,34585,31262,41018,20527,17274,33738,74004,81677,0,12665,8929,7273,0,0,0,0,184548,0,0,74300,0,1129,156838,0,0,0,0,0,0,621,3725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145000,3633,0,0,0,0,0,0,27407,0,0,6722,1.00E+05,0,1197174,21594,1.715,1.804
QUAKER VALLEY,ALEPPO TWP,2009,574683,0,0,19009,0,29496,153575,53808,0,29006,0,0,0,0,859577,0,27079,1294,5284,1800,0,0,0,0,0,0,10195,0,250,0,1103,0,0,8753,0,0,0,0,8539,10067,0,0,195907,3409,4761,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8674,1395241,12294,52921,5411,12217,48870,34758,42362,4125,15475,15518,78892,93518,0,1692,17628,9351,0,0,0,0,201081,0,0,77654,0,410133,218525,0,0,0,0,0,0,2268,5636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27812,0,0,2018,1.00E+05,0,1337536,19320,0.308,1.444
QUAKER VALLEY,ALEPPO TWP,2010,540612,0,0,18924,0,32642,172185,66994,0,33011,0,0,0,0,864368,0,30223,923,965,1800,0,0,0,0,6165,0,14222,0,348,0,1202,0,0,8316,9611,0,0,0,0,0,0,10368,198966,12178,45151,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+05,1.00E+05,0,7627,1644807,12121,0,147503,10966,32417,0,0,0,6888,10800,83143,91848,0,35131,1285,9351,0,0,0,0,220758,0,0,81075,0,232563,184268,0,0,0,0,0,0,15508,225706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27501,0,0,355,130000,0,1483605,36416,0,2.455
QUAKER VALLEY,ALEPPO TWP,2011,543384,0,0,18887,0,25830,175253,48736,0,35066,0,0,0,0,847156,0,32513,1433,431,1800,0,0,0,0,0,0,11859,0,0,0,1192,0,0,8741,19870,0,0,0,0,0,0,10550,202070,2993,5165,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37221,0,0,10390,9383467,13646,0,133135,10871,38498,0,0,0,11726,32004,87637,104443,0,3240,6346,15328,0,0,0,0,216994,0,0,84140,0,153066,220250,0,0,0,0,0,0,5196,11757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,1650,0,0,0,0,0,0,28524,0,0,370,1.00E+05,0,1425215,9586,0,0.673
QUAKER VALLEY,ALEPPO TWP,2012,557714,0,0,28133,0,20867,207174,56330,0,33469,0,0,0,0,903687,0,34280,1358,327,1800,0,0,0,0,0,0,12258,0,0,0,1143,0,0,6706,11241,0,38,0,0,0,0,10867,208911,1664,5255,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15135,82505,0,0,13230,1434050,13092,0,135592,12176,46159,0,0,0,20272,36425,90347,97430,15596,3499,8451,0,0,0,0,0,215323,0,0,79984,0,85385,255089,0,0,0,0,0,0,3379,46471,82505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,1320,0,0,0,0,0,0,28723,0,0,0,0,0,7314233,11950,0,0.163
QUAKER VALLEY,ALEPPO TWP,2013,539179,0,0,35750,0,54327,204183,37223,0,38624,0,0,0,0,909286,0,35359,852,332,1800,0,0,0,0,0,0,15447,0,130,0,1110,0,0,6866,12778,0,69,0,0,0,0,11193,209674,1512,5749,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17550,0,0,0,86421,0,0,16061,2726122,14451,67524,73583,10132,30841,0,0,0,22092,13797,89389,99497,15328,3070,0,0,0,0,0,0,207284,0,0,108144,0,196136,195683,0,0,0,0,0,0,7356,56818,90967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,990,0,0,0,0,0,0,29103,0,0,1444,305000,0,3504152,3070,0,0.088
QUAKER VALLEY,ALEPPO TWP,2014,467512,0,0,38554,0,57155,215491,39285,0,43189,0,0,0,0,861186,0,36833,834,227,3000,0,0,0,0,0,0,14536,0,227,0,1108,0,0,11618,12075,0,96,0,0,8444,0,0,212933,2029,3499,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9201,191382,0,0,17883,2181598,16659,68618,77816,11919,34484,0,0,0,15615,15114,90866,107156,15584,1530,1503,0,0,0,0,0,216639,0,0,98468,0,155036,288605,0,0,0,0,0,0,12144,55028,88646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,660,0,0,0,16268,0,0,31228,0,0,328,0,0,2158208,3033,0,0.141
QUAKER VALLEY,ALEPPO TWP,2015,467799,0,0,39269,0,23543,223678,27830,0,40428,0,0,0,0,822547,0,37645,818,2930,3000,0,0,0,0,0,0,5453,0,0,0,920,0,200,11763,12215,0,178,0,0,8697,0,0,216241,4014,5302,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357005,0,0,33607,10556694,21193,70654,74632,10768,26876,0,0,0,31703,20448,93136,101753,16535,3113,0,0,0,0,0,0,214537,0,0,101627,0,149114,200334,0,0,0,0,0,0,12737,80541,425633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,330,0,0,0,18728,0,0,32997,0,0,909,0,0,11103938,3113,0,0.028
QUAKER VALLEY,ALEPPO TWP,2016,465308,0,0,37866,0,34588,219101,27165,0,34949,0,0,0,0,818977,0,38112,713,7661,3000,0,0,0,0,0,0,26366,0,236,0,909,0,200,6803,12234,0,184,0,0,17778,0,0,219598,3231,3474,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24878,2058807,20495,72864,79474,11018,39951,0,0,0,25459,20288,94345,105178,13412,1014,1929,0,0,0,0,0,215878,0,0,104974,0,156617,196572,0,0,0,0,0,0,9932,79240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18728,0,0,33549,0,0,163,168000,0,1849249,2943,0,0.159
QUAKER VALLEY,ALEPPO TWP,2017,474053,0,0,36325,0,42107,255339,22571,0,35065,0,0,0,0,865460,0,39159,884,11198,3000,0,0,0,0,0,0,16534,0,414,0,801,0,200,6679,11214,0,181,0,0,9084,0,0,223005,13313,15497,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22351,2283207,22728,77405,82483,9918,45623,0,0,0,21651,27569,97933,110436,13974,12906,0,0,0,0,0,0,235249,0,0,105071,0,37370,219229,0,0,0,0,0,0,6434,74303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,0,0,33790,0,0,272,307274,0,1939179,12906,0,0.666
QUAKER VALLEY,ALEPPO TWP,2018,495138,0,0,35920,0,43309,232609,21988,0,39477,0,0,0,0,868441,0,37614,869,15721,3000,0,0,0,0,0,0,19239,0,215,0,856,0,200,8770,10253,273,0,0,0,9357,1829,0,236464,10881,28464,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,404464,0,0,22679,2468423,26762,80133,102798,16386,59125,0,0,0,34677,23925,101510,118108,16708,19272,2697,0,0,0,0,0,258295,0,0,107699,0,27009,231878,0,1204,0,0,0,0,8399,31326,404464,0,0,0,0,0,0,5637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13850,0,0,33794,0,0,246,81500,0,2773434,21969,0,0.792
QUAKER VALLEY,ALEPPO TWP,2019,494285,0,0,37397,0,250134,254009,18676,0,52773,0,0,0,0,1107274,0,39084,804,24692,3000,0,0,0,0,0,0,17518,0,280,0,760,0,200,8872,11128,0,302,0,0,9599,0,0,239974,1605,51540,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,14100,23517,0,0,43049,2894357,27101,82539,94266,11840,41205,0,0,0,47956,26445,104266,134004,18624,31666,13962,0,0,0,0,0,302522,0,0,110560,0,32051,309281,0,36374,0,533,0,0,19582,24702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33821,0,176,1001,474655,0,2334252,45628,0,1.955
QUAKER VALLEY,ALEPPO TWP,2020,471834,0,0,35821,0,76093,238154,22332,0,65322,0,0,0,0,909556,0,39609,742,7404,3000,0,0,39985,0,0,0,19159,0,317,0,1050,0,200,13826,11206,0,260,0,0,0,0,0,245537,4250,20816,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,22662,9587414,25653,85349,1.00E+05,15812,49331,0,0,0,73471,31600,114047,137780,19095,9945,2656,0,0,0,0,0,283523,0,0,112860,0,16495,219243,0,4177,0,539,0,0,11177,0,0,0,0,0,0,0,0,58602,0,0,0,0,0,0,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32934,0,222,1744,1.00E+05,0,9605781,12601,0,0.131
NORTH HILLS,ASPINWALL BORO,2006,686355,0,0,0,0,52592,364929,11703,0,14047,0,2250,0,0,1131876,5299,23761,53252,28968,4029,0,0,0,0,0,0,0,0,45428,0,1803,0,0,64859,0,0,0,0,42004,0,3000,0,0,3625,92,128314,300,0,0,2614,0,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,2871544,130296,45205,14648,19053,20908,43295,0,0,0,61266,442714,29065,0,0,30948,0,0,0,0,0,502727,0,0,1800,0,0,97016,52303,17786,35180,1136,0,3085,15226,11242,85423,0,0,0,0,0,0,0,0,0,0,0,0,0,72202,28920,0,16500,0,0,0,0,0,0,0,12914,2188,0,54298,0,126320,25798,126377,22671,0,0,0,0,0,2630210,30948,0,1.177
NORTH HILLS,ASPINWALL BORO,2007,810044,0,0,0,0,54191,360604,11436,0,15115,0,3250,0,0,1254640,5406,25086,45816,18769,4109,0,0,0,0,0,0,0,0,45332,0,1654,0,0,67334,0,0,0,0,20479,0,3713,0,0,8871,705,133648,1390,0,0,0,0,0,0,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207000,0,0,0,3029125,60391,49095,22376,25051,36889,40561,0,0,0,52345,448295,26387,0,0,65544,0,0,0,0,0,540226,0,0,930,0,0,119115,47435,47862,9237,5021,0,42121,10438,18379,115719,0,0,0,0,0,0,0,0,0,0,0,0,0,44720,43999,0,14870,0,0,0,0,0,0,0,13133,1969,0,52323,0,127176,31025,114116,25240,0,0,0,278500,0,3302606,65544,0,1.985
NORTH HILLS,ASPINWALL BORO,2008,844716,0,0,0,0,46411,404140,11770,0,17687,0,3300,0,0,1328024,10548,26940,59766,5131,4191,0,0,0,0,0,0,0,20000,43166,0,1657,0,0,54168,0,0,0,0,20742,0,10870,0,0,5311,2182,141105,4293,0,0,0,0,0,0,9050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000,0,0,0,2938210,61256,50835,24497,25243,38287,45524,0,0,0,49896,449875,26867,0,0,42531,0,0,0,0,0,519273,0,0,1300,0,0,133671,54882,59437,27930,13520,0,9653,13606,21497,60458,0,0,0,0,0,0,0,0,0,0,0,0,0,64317,36100,0,26599,0,0,0,0,0,0,0,28873,3598,0,58472,0,123384,38035,170844,11878,0,0,0,178500,0,3700593,42531,0,1.149
NORTH HILLS,ASPINWALL BORO,2009,853789,0,0,0,0,38661,403786,13375,0,19783,0,3300,0,0,1332694,4013,36309,69653,1378,4275,0,0,0,0,0,0,0,0,43734,0,1871,0,1200,65688,0,0,0,0,18118,0,0,0,0,1307,605,136039,2193,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0,150,0,0,2805,0,0,2000,120000,22455,0,0,3399010,64797,52500,21419,26494,46851,43928,0,0,0,48798,515092,24708,0,0,38060,0,0,0,0,0,577860,0,0,1400,0,0,123507,51053,45979,30927,5838,0,7425,13827,19216,19190,0,0,0,0,0,2345,0,0,0,0,0,0,0,43389,33210,0,4137,0,0,0,0,0,0,0,59297,10784,0,62150,0,191955,36109,198686,21277,0,0,0,172500,0,3074911,38060,0,1.238
NORTH HILLS,ASPINWALL BORO,2010,1016918,0,0,48572,0,62155,417791,12359,0,19776,0,3000,0,0,1580571,6413,53940,60065,141,4361,0,0,0,0,0,0,14374,0,0,0,1911,0,1200,67932,20393,0,0,0,0,0,17500,0,0,1173,2460,127968,3164,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,535,0,0,10000,0,0,0,122000,0,0,10133,3441244,67257,66240,24116,30650,49457,49570,0,0,0,40946,513837,24154,0,0,46275,0,0,0,0,0,584266,0,0,1200,0,0,128692,50558,88053,17042,5756,0,6384,14182,24705,83235,0,0,0,0,0,4374,0,0,0,0,0,0,0,68049,26658,0,4856,0,0,0,0,0,0,0,61924,8157,0,65552,0,164961,15743,206298,23497,0,0,0,186500,0,3138529,46275,0,1.474
NORTH HILLS,ASPINWALL BORO,2011,1016129,0,0,51389,0,47298,435310,11936,0,18980,0,4850,0,0,1585892,6178,57661,65216,43,4448,0,0,0,0,0,0,0,0,0,0,2145,0,1200,117525,30344,0,0,0,3333,0,0,0,0,2798,360,135409,3954,0,5487,0,0,0,0,4506,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,3668,252315,27834,0,4555,3319182,64813,50367,22839,30160,37704,53503,0,0,0,48978,527378,28752,0,0,23177,0,0,0,0,0,579307,0,0,1200,0,0,137625,48232,37878,19424,10650,0,11435,15424,6546,0,0,0,0,0,0,3895,0,0,0,0,0,0,0,50195,23350,0,8802,0,0,0,0,0,0,0,78590,6283,0,64310,0,236465,41915,216550,12568,0,0,0,257000,0,3241512,23177,0,0.715
NORTH HILLS,ASPINWALL BORO,2012,1024835,0,0,58901,0,70220,479054,11542,0,17156,0,4850,0,0,1666558,5687,60727,61466,77,4537,0,0,0,0,0,0,0,0,0,0,2099,0,1200,71522,17214,0,59,0,0,0,0,0,0,3174,525,127554,2576,0,1289,0,0,0,0,4350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,181000,0,0,0,3578558,53261,55095,19659,25680,26645,23291,0,0,0,55088,552048,26392,0,0,20029,0,0,0,0,0,598469,0,0,1200,0,0,108873,53106,32130,32020,17091,0,6775,14692,14688,0,0,0,0,0,0,38335,0,0,0,0,0,0,0,49237,31979,0,11052,0,0,0,0,0,0,0,78481,4554,0,64887,0,216705,46772,135398,16474,0,0,0,255705,0,2996770,20029,0,0.668
NORTH HILLS,ASPINWALL BORO,2013,1092185,0,0,63724,0,74942,468208,9531,0,19380,0,5000,0,0,1732970,7190,56853,62108,101,0,0,0,0,0,0,0,0,0,0,0,2043,0,1200,73803,19960,0,109,0,0,0,0,0,0,2888,510,137555,2714,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181000,0,0,6951,3734074,61578,86177,17770,31306,26076,22148,0,0,0,53206,550296,33604,0,0,30181,0,0,0,0,0,614081,0,0,1200,0,0,115099,62593,68401,20558,7787,0,10942,13684,7979,77647,0,0,0,0,0,0,0,0,0,0,0,0,0,54226,39303,0,12584,0,0,0,0,0,0,0,28603,2235,800,73005,0,220460,51877,103295,14073,0,0,0,258943,0,3064513,30181,0,0.985
NORTH HILLS,ASPINWALL BORO,2014,1040281,0,0,63958,0,82704,486872,11225,0,23839,0,4850,0,0,1713729,6611,64803,62728,123,0,0,0,0,0,0,0,0,0,0,0,2113,0,1000,81326,18865,0,150,0,2342,0,21804,0,0,6011,270,128289,0,0,0,0,0,0,0,4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181000,34930,0,3953,3440299,55948,98300,19136,24934,21366,24262,0,0,0,95055,578410,34025,0,0,24990,0,0,0,0,0,637425,0,0,1200,0,0,135203,57961,56497,25203,6055,0,6724,18882,14394,124974,0,0,0,0,0,0,0,0,0,0,0,0,0,49946,31998,0,10583,0,0,0,0,0,0,0,32434,1962,850,73543,0,228957,34472,129991,20492,0,0,0,257788,0,3288849,24990,0,0.76
NORTH HILLS,ASPINWALL BORO,2015,1097406,0,0,61913,0,87403,548413,13391,0,26063,0,4500,0,0,1839089,7544,67971,65817,184,0,0,0,0,0,0,0,0,0,0,0,1920,0,1400,82338,19073,0,279,0,3015,0,0,0,0,5733,375,124414,0,0,0,0,0,0,0,4775,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,122000,0,0,0,3485865,68683,107097,19200,26298,34276,27912,0,0,0,86010,577404,32009,0,0,20640,0,0,0,0,0,630053,0,0,1200,0,0,263673,75484,82562,50435,0,0,3465,10958,16035,140746,0,0,0,0,0,0,0,0,0,0,0,0,0,52105,44494,0,9685,0,0,0,0,0,0,0,26124,2785,850,74831,0,223194,70378,129486,11640,0,203,0,197498,0,3689279,20640,0,0.559
NORTH HILLS,ASPINWALL BORO,2016,1305493,0,0,65445,0,96489,533012,10069,0,28100,0,5150,0,0,2043758,4865,69166,46245,1719,0,0,0,0,0,0,0,0,0,0,0,1996,0,1600,78744,19019,0,288,0,2367,0,0,0,0,12122,450,126944,0,0,0,0,0,0,0,4575,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,251200,0,0,0,3895303,73171,91546,18140,28419,26985,31200,0,0,0,51885,572640,57719,0,0,41814,0,0,0,0,0,672173,0,0,1700,0,0,211746,81768,52247,45805,0,0,20445,12769,17787,126201,0,0,0,0,0,0,0,0,0,0,0,0,0,73315,52113,0,11705,0,0,0,0,0,0,0,34678,862,850,74089,0,243093,70910,168169,9012,0,0,0,325408,0,3957084,41814,0,1.057
NORTH HILLS,ASPINWALL BORO,2017,1333752,0,0,68199,0,82511,573376,9157,0,27761,0,4450,0,0,2099206,8631,69621,60064,3325,0,0,0,0,0,0,0,76978,0,0,0,2037,0,1400,82589,17398,0,282,0,2965,0,0,0,0,0,600,115406,140,0,0,0,0,0,0,6750,0,0,0,0,0,0,0,0,100,0,0,0,5454,0,11380,7800,0,0,0,0,4060335,66591,90602,19700,29294,53814,38460,0,0,0,88353,547663,111038,0,0,31124,0,0,0,0,0,689825,0,0,1200,0,0,215058,83950,38057,27575,19466,0,260630,14982,9329,183350,0,0,0,0,0,0,0,0,0,0,0,0,0,67164,26552,0,11005,0,0,0,0,0,0,0,54458,4325,850,74991,0,183000,80539,198379,8055,0,0,0,77918,0,3802544,31124,0,0.819
NORTH HILLS,ASPINWALL BORO,2018,1347121,0,0,75090,0,101011,567046,10199,0,30779,0,4100,0,0,2135346,11570,64539,59792,6091,0,0,0,0,0,0,0,209511,0,0,0,2076,0,1200,93688,16036,0,426,0,0,0,0,0,0,0,405,117070,1820,0,0,0,0,0,0,6125,0,0,0,0,0,0,0,0,690,0,0,0,73259,0,8496,0,0,0,0,0,3871659,85740,95594,18867,29482,37758,45436,0,0,0,78787,545818,75887,0,0,43666,0,0,0,0,0,665371,0,0,1200,0,0,176190,64628,68081,42762,5672,0,207340,13587,21098,179377,0,0,0,0,0,0,0,0,0,0,0,0,0,133843,55629,0,19839,0,0,0,0,0,0,0,46205,2756,915,74814,0,196257,63331,188704,14157,0,358,0,76413,0,4237355,43666,0,1.031
NORTH HILLS,ASPINWALL BORO,2019,1570630,0,0,80996,0,77683,636410,12812,0,30298,0,4800,0,0,2413629,5996,61919,56036,8334,0,0,0,0,0,0,0,254407,0,0,0,1903,0,1400,92168,17314,0,472,0,0,0,38499,0,0,0,600,114132,705,0,0,0,0,0,0,6125,0,0,0,0,0,0,0,0,0,0,0,0,149359,0,14760,0,0,0,0,0,5034712,104322,115070,18682,30904,41044,44788,0,0,0,74845,624961,102248,0,0,43233,0,0,0,0,0,770442,0,0,1500,0,0,201002,75719,25017,29347,8278,0,474569,11084,14838,198562,0,0,0,0,0,0,0,0,0,0,0,0,0,53385,25282,0,37901,0,0,0,0,0,0,0,44709,2315,799,83060,0,235157,68045,211560,28005,0,0,0,74820,0,4279722,43233,0,1.01
NORTH HILLS,ASPINWALL BORO,2020,1631610,0,0,75870,0,72259,645866,12122,0,27937,0,0,0,0,2465664,6827,58606,46547,1189,0,0,0,0,0,0,0,573531,0,0,0,2285,0,1200,98476,17545,0,405,0,0,0,60000,0,0,0,525,85342,1354,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,40939,0,14089,0,2971,0,0,0,6033168,87811,128425,19401,38703,37450,53892,0,0,0,85885,612572,80922,0,0,31035,0,0,0,0,0,724529,0,0,1500,0,0,190522,84283,10149,44145,0,0,692238,11950,9509,163214,0,0,0,0,0,0,0,0,0,0,0,0,0,51375,37281,0,45421,0,0,0,0,0,0,0,65915,5067,1641,85396,0,243048,56267,181096,0,0,0,0,70232,0,5273154,31035,0,0.589
